chr	start	end
chr1	13010000	13020000
chr1	13060000	13070000
chr1	13070000	13080000
chr1	13080000	13090000
chr1	13090000	13100000
chr1	13100000	13110000
chr1	13120000	13130000
chr1	13370000	13380000
chr1	13420000	13430000
chr1	13580000	13590000
chr1	13590000	13600000
chr1	13610000	13620000
chr1	13620000	13630000
chr1	13650000	13660000
chr1	13660000	13670000
chr1	14280000	14290000
chr1	14290000	14300000
chr1	14300000	14310000
chr1	14310000	14320000
chr1	14500000	14510000
chr1	14750000	14760000
chr1	14910000	14920000
chr1	15170000	15180000
chr1	15280000	15290000
chr1	15790000	15800000
chr1	15800000	15810000
chr1	15810000	15820000
chr1	15880000	15890000
chr1	15890000	15900000
chr1	16090000	16100000
chr1	16100000	16110000
chr1	16110000	16120000
chr1	16510000	16520000
chr1	16520000	16530000
chr1	16610000	16620000
chr1	16650000	16660000
chr1	16660000	16670000
chr1	16680000	16690000
chr1	17090000	17100000
chr1	17140000	17150000
chr1	17250000	17260000
chr1	17720000	17730000
chr1	17790000	17800000
chr1	18050000	18060000
chr1	19090000	19100000
chr1	19100000	19110000
chr1	19110000	19120000
chr1	19200000	19210000
chr1	19210000	19220000
chr1	19230000	19240000
chr1	19240000	19250000
chr1	20430000	20440000
chr1	20470000	20480000
chr1	20780000	20790000
chr1	20810000	20820000
chr1	20820000	20830000
chr1	20880000	20890000
chr1	20890000	20900000
chr1	20930000	20940000
chr1	20940000	20950000
chr1	20950000	20960000
chr1	21020000	21030000
chr1	21070000	21080000
chr1	21080000	21090000
chr1	21160000	21170000
chr1	21210000	21220000
chr1	21250000	21260000
chr1	21270000	21280000
chr1	21400000	21410000
chr1	21950000	21960000
chr1	21960000	21970000
chr1	22530000	22540000
chr1	22800000	22810000
chr1	23250000	23260000
chr1	23380000	23390000
chr1	23760000	23770000
chr1	23920000	23930000
chr1	23950000	23960000
chr1	24000000	24010000
chr1	24090000	24100000
chr1	24100000	24110000
chr1	24130000	24140000
chr1	24580000	24590000
chr1	24670000	24680000
chr1	24680000	24690000
chr1	25060000	25070000
chr1	25220000	25230000
chr1	25820000	25830000
chr1	25830000	25840000
chr1	28390000	28400000
chr1	30090000	30100000
chr1	30540000	30550000
chr1	30850000	30860000
chr1	30870000	30880000
chr1	30940000	30950000
chr1	30950000	30960000
chr1	32170000	32180000
chr1	32490000	32500000
chr1	33270000	33280000
chr1	33620000	33630000
chr1	33630000	33640000
chr1	33660000	33670000
chr1	33670000	33680000
chr1	33710000	33720000
chr1	33720000	33730000
chr1	33750000	33760000
chr1	33810000	33820000
chr1	33830000	33840000
chr1	33880000	33890000
chr1	33900000	33910000
chr1	33940000	33950000
chr1	33970000	33980000
chr1	34000000	34010000
chr1	34010000	34020000
chr1	34060000	34070000
chr1	34070000	34080000
chr1	34100000	34110000
chr1	34130000	34140000
chr1	34170000	34180000
chr1	34230000	34240000
chr1	34420000	34430000
chr1	34430000	34440000
chr1	34440000	34450000
chr1	34450000	34460000
chr1	34460000	34470000
chr1	34470000	34480000
chr1	34480000	34490000
chr1	34490000	34500000
chr1	34510000	34520000
chr1	34530000	34540000
chr1	34570000	34580000
chr1	34580000	34590000
chr1	34590000	34600000
chr1	34600000	34610000
chr1	34630000	34640000
chr1	34670000	34680000
chr1	34720000	34730000
chr1	34740000	34750000
chr1	34750000	34760000
chr1	34800000	34810000
chr1	34840000	34850000
chr1	34850000	34860000
chr1	34860000	34870000
chr1	34920000	34930000
chr1	34930000	34940000
chr1	35230000	35240000
chr1	35820000	35830000
chr1	36000000	36010000
chr1	36010000	36020000
chr1	36030000	36040000
chr1	36040000	36050000
chr1	36060000	36070000
chr1	36070000	36080000
chr1	36100000	36110000
chr1	36240000	36250000
chr1	36250000	36260000
chr1	36260000	36270000
chr1	36270000	36280000
chr1	36300000	36310000
chr1	36310000	36320000
chr1	36360000	36370000
chr1	36440000	36450000
chr1	36470000	36480000
chr1	36510000	36520000
chr1	36540000	36550000
chr1	36550000	36560000
chr1	36580000	36590000
chr1	36680000	36690000
chr1	36690000	36700000
chr1	36700000	36710000
chr1	36710000	36720000
chr1	36740000	36750000
chr1	36750000	36760000
chr1	36770000	36780000
chr1	36780000	36790000
chr1	36830000	36840000
chr1	36930000	36940000
chr1	36940000	36950000
chr1	36980000	36990000
chr1	37020000	37030000
chr1	37040000	37050000
chr1	37200000	37210000
chr1	37290000	37300000
chr1	37300000	37310000
chr1	37400000	37410000
chr1	37420000	37430000
chr1	37430000	37440000
chr1	37530000	37540000
chr1	37540000	37550000
chr1	37660000	37670000
chr1	37690000	37700000
chr1	37710000	37720000
chr1	37720000	37730000
chr1	37860000	37870000
chr1	37870000	37880000
chr1	37880000	37890000
chr1	37890000	37900000
chr1	37920000	37930000
chr1	37990000	38000000
chr1	38120000	38130000
chr1	38130000	38140000
chr1	38200000	38210000
chr1	38210000	38220000
chr1	38620000	38630000
chr1	38760000	38770000
chr1	38830000	38840000
chr1	38890000	38900000
chr1	38980000	38990000
chr1	39020000	39030000
chr1	39030000	39040000
chr1	39190000	39200000
chr1	39330000	39340000
chr1	39340000	39350000
chr1	39360000	39370000
chr1	39370000	39380000
chr1	39390000	39400000
chr1	39470000	39480000
chr1	39530000	39540000
chr1	39570000	39580000
chr1	39640000	39650000
chr1	39650000	39660000
chr1	39720000	39730000
chr1	39760000	39770000
chr1	39890000	39900000
chr1	39900000	39910000
chr1	39920000	39930000
chr1	39930000	39940000
chr1	40080000	40090000
chr1	40100000	40110000
chr1	40260000	40270000
chr1	40320000	40330000
chr1	40680000	40690000
chr1	40780000	40790000
chr1	40790000	40800000
chr1	42490000	42500000
chr1	42680000	42690000
chr1	42690000	42700000
chr1	42700000	42710000
chr1	42710000	42720000
chr1	42850000	42860000
chr1	42880000	42890000
chr1	42910000	42920000
chr1	42950000	42960000
chr1	43090000	43100000
chr1	43160000	43170000
chr1	43440000	43450000
chr1	43510000	43520000
chr1	43730000	43740000
chr1	43820000	43830000
chr1	43880000	43890000
chr1	43890000	43900000
chr1	43930000	43940000
chr1	43940000	43950000
chr1	44030000	44040000
chr1	44040000	44050000
chr1	44100000	44110000
chr1	44110000	44120000
chr1	44120000	44130000
chr1	44140000	44150000
chr1	44190000	44200000
chr1	44390000	44400000
chr1	44550000	44560000
chr1	44990000	45000000
chr1	45310000	45320000
chr1	45500000	45510000
chr1	45790000	45800000
chr1	45920000	45930000
chr1	46060000	46070000
chr1	46080000	46090000
chr1	46420000	46430000
chr1	46850000	46860000
chr1	46880000	46890000
chr1	46890000	46900000
chr1	47070000	47080000
chr1	47820000	47830000
chr1	49100000	49110000
chr1	50920000	50930000
chr1	51450000	51460000
chr1	51470000	51480000
chr1	51740000	51750000
chr1	51910000	51920000
chr1	52000000	52010000
chr1	52010000	52020000
chr1	52110000	52120000
chr1	52120000	52130000
chr1	52220000	52230000
chr1	52230000	52240000
chr1	52430000	52440000
chr1	52490000	52500000
chr1	52500000	52510000
chr1	52590000	52600000
chr1	52630000	52640000
chr1	52720000	52730000
chr1	52810000	52820000
chr1	52840000	52850000
chr1	52950000	52960000
chr1	53180000	53190000
chr1	53230000	53240000
chr1	53290000	53300000
chr1	53310000	53320000
chr1	53350000	53360000
chr1	53390000	53400000
chr1	53520000	53530000
chr1	53610000	53620000
chr1	53700000	53710000
chr1	53740000	53750000
chr1	53750000	53760000
chr1	53780000	53790000
chr1	53820000	53830000
chr1	54190000	54200000
chr1	54250000	54260000
chr1	54430000	54440000
chr1	54480000	54490000
chr1	54550000	54560000
chr1	54580000	54590000
chr1	54920000	54930000
chr1	55020000	55030000
chr1	55050000	55060000
chr1	55080000	55090000
chr1	55090000	55100000
chr1	55110000	55120000
chr1	55120000	55130000
chr1	55130000	55140000
chr1	55170000	55180000
chr1	55190000	55200000
chr1	55220000	55230000
chr1	55230000	55240000
chr1	55360000	55370000
chr1	55400000	55410000
chr1	55480000	55490000
chr1	55490000	55500000
chr1	56960000	56970000
chr1	56970000	56980000
chr1	56980000	56990000
chr1	57370000	57380000
chr1	57400000	57410000
chr1	57770000	57780000
chr1	57960000	57970000
chr1	57970000	57980000
chr1	57990000	58000000
chr1	58020000	58030000
chr1	58030000	58040000
chr1	58190000	58200000
chr1	58280000	58290000
chr1	58290000	58300000
chr1	58390000	58400000
chr1	58420000	58430000
chr1	58440000	58450000
chr1	58450000	58460000
chr1	58500000	58510000
chr1	58510000	58520000
chr1	58580000	58590000
chr1	58630000	58640000
chr1	58650000	58660000
chr1	58710000	58720000
chr1	58730000	58740000
chr1	58760000	58770000
chr1	58790000	58800000
chr1	58810000	58820000
chr1	58820000	58830000
chr1	58970000	58980000
chr1	59110000	59120000
chr1	59120000	59130000
chr1	59230000	59240000
chr1	59250000	59260000
chr1	59330000	59340000
chr1	59340000	59350000
chr1	59360000	59370000
chr1	59370000	59380000
chr1	59420000	59430000
chr1	59430000	59440000
chr1	59480000	59490000
chr1	59500000	59510000
chr1	59510000	59520000
chr1	59580000	59590000
chr1	59590000	59600000
chr1	59610000	59620000
chr1	59660000	59670000
chr1	59670000	59680000
chr1	59680000	59690000
chr1	59690000	59700000
chr1	59760000	59770000
chr1	59910000	59920000
chr1	60040000	60050000
chr1	60090000	60100000
chr1	60170000	60180000
chr1	60180000	60190000
chr1	60340000	60350000
chr1	60400000	60410000
chr1	60410000	60420000
chr1	60430000	60440000
chr1	60560000	60570000
chr1	61200000	61210000
chr1	61410000	61420000
chr1	61510000	61520000
chr1	61630000	61640000
chr1	62700000	62710000
chr1	62790000	62800000
chr1	62880000	62890000
chr1	62960000	62970000
chr1	62980000	62990000
chr1	63100000	63110000
chr1	63110000	63120000
chr1	63130000	63140000
chr1	63140000	63150000
chr1	63170000	63180000
chr1	63180000	63190000
chr1	63190000	63200000
chr1	63200000	63210000
chr1	63210000	63220000
chr1	63240000	63250000
chr1	63270000	63280000
chr1	63300000	63310000
chr1	63310000	63320000
chr1	63430000	63440000
chr1	63440000	63450000
chr1	63610000	63620000
chr1	63720000	63730000
chr1	63730000	63740000
chr1	63800000	63810000
chr1	64110000	64120000
chr1	64120000	64130000
chr1	64220000	64230000
chr1	64250000	64260000
chr1	64530000	64540000
chr1	64570000	64580000
chr1	64610000	64620000
chr1	64680000	64690000
chr1	64690000	64700000
chr1	64730000	64740000
chr1	64950000	64960000
chr1	65060000	65070000
chr1	65070000	65080000
chr1	65080000	65090000
chr1	65100000	65110000
chr1	65110000	65120000
chr1	65170000	65180000
chr1	65180000	65190000
chr1	65310000	65320000
chr1	66170000	66180000
chr1	66460000	66470000
chr1	66700000	66710000
chr1	66810000	66820000
chr1	66860000	66870000
chr1	67030000	67040000
chr1	69100000	69110000
chr1	69370000	69380000
chr1	69680000	69690000
chr1	69790000	69800000
chr1	69820000	69830000
chr1	71100000	71110000
chr1	71110000	71120000
chr1	71550000	71560000
chr1	71640000	71650000
chr1	71650000	71660000
chr1	71810000	71820000
chr1	72030000	72040000
chr1	72100000	72110000
chr1	72200000	72210000
chr1	72210000	72220000
chr1	72220000	72230000
chr1	72230000	72240000
chr1	72240000	72250000
chr1	72250000	72260000
chr1	72280000	72290000
chr1	72300000	72310000
chr1	72530000	72540000
chr1	72570000	72580000
chr1	72580000	72590000
chr1	72640000	72650000
chr1	72710000	72720000
chr1	72800000	72810000
chr1	72820000	72830000
chr1	72860000	72870000
chr1	72870000	72880000
chr1	72940000	72950000
chr1	73860000	73870000
chr1	73880000	73890000
chr1	74030000	74040000
chr1	74060000	74070000
chr1	74090000	74100000
chr1	74110000	74120000
chr1	74120000	74130000
chr1	74230000	74240000
chr1	74280000	74290000
chr1	74300000	74310000
chr1	74330000	74340000
chr1	74360000	74370000
chr1	74380000	74390000
chr1	74390000	74400000
chr1	74500000	74510000
chr1	74580000	74590000
chr1	74600000	74610000
chr1	74660000	74670000
chr1	74710000	74720000
chr1	74740000	74750000
chr1	74770000	74780000
chr1	74780000	74790000
chr1	74790000	74800000
chr1	74800000	74810000
chr1	74810000	74820000
chr1	74820000	74830000
chr1	74850000	74860000
chr1	74880000	74890000
chr1	74890000	74900000
chr1	74900000	74910000
chr1	74910000	74920000
chr1	74930000	74940000
chr1	74940000	74950000
chr1	74950000	74960000
chr1	74960000	74970000
chr1	75010000	75020000
chr1	75120000	75130000
chr1	75140000	75150000
chr1	75160000	75170000
chr1	75170000	75180000
chr1	75180000	75190000
chr1	75190000	75200000
chr1	75200000	75210000
chr1	75210000	75220000
chr1	75220000	75230000
chr1	75230000	75240000
chr1	75250000	75260000
chr1	75260000	75270000
chr1	75270000	75280000
chr1	75310000	75320000
chr1	75340000	75350000
chr1	75350000	75360000
chr1	75360000	75370000
chr1	75370000	75380000
chr1	75380000	75390000
chr1	75390000	75400000
chr1	75400000	75410000
chr1	75420000	75430000
chr1	75430000	75440000
chr1	75440000	75450000
chr1	75450000	75460000
chr1	75470000	75480000
chr1	75480000	75490000
chr1	75490000	75500000
chr1	75500000	75510000
chr1	75510000	75520000
chr1	75520000	75530000
chr1	75540000	75550000
chr1	75550000	75560000
chr1	75600000	75610000
chr1	75700000	75710000
chr1	75710000	75720000
chr1	76000000	76010000
chr1	77490000	77500000
chr1	77510000	77520000
chr1	78130000	78140000
chr1	78140000	78150000
chr1	78180000	78190000
chr1	78190000	78200000
chr1	78200000	78210000
chr1	78210000	78220000
chr1	78300000	78310000
chr1	78310000	78320000
chr1	78480000	78490000
chr1	78490000	78500000
chr1	78510000	78520000
chr1	78530000	78540000
chr1	78560000	78570000
chr1	78600000	78610000
chr1	78650000	78660000
chr1	78660000	78670000
chr1	78720000	78730000
chr1	79450000	79460000
chr1	79580000	79590000
chr1	79670000	79680000
chr1	79760000	79770000
chr1	79770000	79780000
chr1	79850000	79860000
chr1	80150000	80160000
chr1	80330000	80340000
chr1	80340000	80350000
chr1	80380000	80390000
chr1	80750000	80760000
chr1	81440000	81450000
chr1	81590000	81600000
chr1	81610000	81620000
chr1	82280000	82290000
chr1	82290000	82300000
chr1	82310000	82320000
chr1	82580000	82590000
chr1	82640000	82650000
chr1	82720000	82730000
chr1	82770000	82780000
chr1	82810000	82820000
chr1	82820000	82830000
chr1	82830000	82840000
chr1	82840000	82850000
chr1	82920000	82930000
chr1	82960000	82970000
chr1	83000000	83010000
chr1	83030000	83040000
chr1	83050000	83060000
chr1	83060000	83070000
chr1	83150000	83160000
chr1	83160000	83170000
chr1	83400000	83410000
chr1	84280000	84290000
chr1	84330000	84340000
chr1	84690000	84700000
chr1	84700000	84710000
chr1	84710000	84720000
chr1	84830000	84840000
chr1	84840000	84850000
chr1	84850000	84860000
chr1	84860000	84870000
chr1	84890000	84900000
chr1	84930000	84940000
chr1	85700000	85710000
chr1	85730000	85740000
chr1	85790000	85800000
chr1	85860000	85870000
chr1	85880000	85890000
chr1	85890000	85900000
chr1	86010000	86020000
chr1	86020000	86030000
chr1	86040000	86050000
chr1	86050000	86060000
chr1	86060000	86070000
chr1	86150000	86160000
chr1	86300000	86310000
chr1	86310000	86320000
chr1	86350000	86360000
chr1	86360000	86370000
chr1	86380000	86390000
chr1	86430000	86440000
chr1	86440000	86450000
chr1	86450000	86460000
chr1	86460000	86470000
chr1	86470000	86480000
chr1	86480000	86490000
chr1	86500000	86510000
chr1	86520000	86530000
chr1	86530000	86540000
chr1	86580000	86590000
chr1	86630000	86640000
chr1	86660000	86670000
chr1	86670000	86680000
chr1	86700000	86710000
chr1	87070000	87080000
chr1	87090000	87100000
chr1	87120000	87130000
chr1	87140000	87150000
chr1	87150000	87160000
chr1	87170000	87180000
chr1	87180000	87190000
chr1	87200000	87210000
chr1	87210000	87220000
chr1	87220000	87230000
chr1	87240000	87250000
chr1	87250000	87260000
chr1	87260000	87270000
chr1	87270000	87280000
chr1	87280000	87290000
chr1	87310000	87320000
chr1	87320000	87330000
chr1	87470000	87480000
chr1	87500000	87510000
chr1	87510000	87520000
chr1	87540000	87550000
chr1	87670000	87680000
chr1	87750000	87760000
chr1	87850000	87860000
chr1	88000000	88010000
chr1	88200000	88210000
chr1	88270000	88280000
chr1	88450000	88460000
chr1	88460000	88470000
chr1	88570000	88580000
chr1	88600000	88610000
chr1	88660000	88670000
chr1	88690000	88700000
chr1	88700000	88710000
chr1	88750000	88760000
chr1	88760000	88770000
chr1	88800000	88810000
chr1	89060000	89070000
chr1	89070000	89080000
chr1	89090000	89100000
chr1	89130000	89140000
chr1	89190000	89200000
chr1	89450000	89460000
chr1	89460000	89470000
chr1	89570000	89580000
chr1	89580000	89590000
chr1	89640000	89650000
chr1	89910000	89920000
chr1	89920000	89930000
chr1	89930000	89940000
chr1	89940000	89950000
chr1	89960000	89970000
chr1	89990000	90000000
chr1	90040000	90050000
chr1	90120000	90130000
chr1	90150000	90160000
chr1	90200000	90210000
chr1	90490000	90500000
chr1	90600000	90610000
chr1	90890000	90900000
chr1	90910000	90920000
chr1	90920000	90930000
chr1	90960000	90970000
chr1	90990000	91000000
chr1	91000000	91010000
chr1	91010000	91020000
chr1	91040000	91050000
chr1	91050000	91060000
chr1	91170000	91180000
chr1	91180000	91190000
chr1	91240000	91250000
chr1	91250000	91260000
chr1	91290000	91300000
chr1	91320000	91330000
chr1	91340000	91350000
chr1	91360000	91370000
chr1	91370000	91380000
chr1	91390000	91400000
chr1	91400000	91410000
chr1	91410000	91420000
chr1	91450000	91460000
chr1	91460000	91470000
chr1	91490000	91500000
chr1	91530000	91540000
chr1	91540000	91550000
chr1	91800000	91810000
chr1	92170000	92180000
chr1	92180000	92190000
chr1	92340000	92350000
chr1	92470000	92480000
chr1	92640000	92650000
chr1	92690000	92700000
chr1	92830000	92840000
chr1	92840000	92850000
chr1	92900000	92910000
chr1	92910000	92920000
chr1	92930000	92940000
chr1	93090000	93100000
chr1	93100000	93110000
chr1	93110000	93120000
chr1	93170000	93180000
chr1	93190000	93200000
chr1	93200000	93210000
chr1	93230000	93240000
chr1	93270000	93280000
chr1	93300000	93310000
chr1	93340000	93350000
chr1	93400000	93410000
chr1	93440000	93450000
chr1	93470000	93480000
chr1	93480000	93490000
chr1	93510000	93520000
chr1	93630000	93640000
chr1	93660000	93670000
chr1	93680000	93690000
chr1	93750000	93760000
chr1	93800000	93810000
chr1	93820000	93830000
chr1	94030000	94040000
chr1	94050000	94060000
chr1	94100000	94110000
chr1	94200000	94210000
chr1	95030000	95040000
chr1	95310000	95320000
chr1	95660000	95670000
chr1	96870000	96880000
chr1	97610000	97620000
chr1	97650000	97660000
chr1	97660000	97670000
chr1	97760000	97770000
chr1	97770000	97780000
chr1	97970000	97980000
chr1	98090000	98100000
chr1	99770000	99780000
chr1	102300000	102310000
chr1	104760000	104770000
chr1	104770000	104780000
chr1	104990000	105000000
chr1	105350000	105360000
chr1	105660000	105670000
chr1	105770000	105780000
chr1	105780000	105790000
chr1	105840000	105850000
chr1	105880000	105890000
chr1	105980000	105990000
chr1	105990000	106000000
chr1	106030000	106040000
chr1	106070000	106080000
chr1	106170000	106180000
chr1	106710000	106720000
chr1	106750000	106760000
chr1	106760000	106770000
chr1	106790000	106800000
chr1	108960000	108970000
chr1	109980000	109990000
chr1	110900000	110910000
chr1	111750000	111760000
chr1	111860000	111870000
chr1	112010000	112020000
chr1	112020000	112030000
chr1	112410000	112420000
chr1	113020000	113030000
chr1	113030000	113040000
chr1	113960000	113970000
chr1	114770000	114780000
chr1	118300000	118310000
chr1	118310000	118320000
chr1	118320000	118330000
chr1	118380000	118390000
chr1	118390000	118400000
chr1	118450000	118460000
chr1	118460000	118470000
chr1	118620000	118630000
chr1	118630000	118640000
chr1	118640000	118650000
chr1	118650000	118660000
chr1	118820000	118830000
chr1	118830000	118840000
chr1	119040000	119050000
chr1	119050000	119060000
chr1	119060000	119070000
chr1	119070000	119080000
chr1	119180000	119190000
chr1	119190000	119200000
chr1	119300000	119310000
chr1	119410000	119420000
chr1	119420000	119430000
chr1	119440000	119450000
chr1	119500000	119510000
chr1	119520000	119530000
chr1	119640000	119650000
chr1	119740000	119750000
chr1	119830000	119840000
chr1	119910000	119920000
chr1	119990000	120000000
chr1	120000000	120010000
chr1	120070000	120080000
chr1	120080000	120090000
chr1	120110000	120120000
chr1	120120000	120130000
chr1	120260000	120270000
chr1	120340000	120350000
chr1	120350000	120360000
chr1	120540000	120550000
chr1	120550000	120560000
chr1	120590000	120600000
chr1	120600000	120610000
chr1	120610000	120620000
chr1	121080000	121090000
chr1	121090000	121100000
chr1	121170000	121180000
chr1	121320000	121330000
chr1	121380000	121390000
chr1	121420000	121430000
chr1	121430000	121440000
chr1	121520000	121530000
chr1	121560000	121570000
chr1	124040000	124050000
chr1	124470000	124480000
chr1	125430000	125440000
chr1	125550000	125560000
chr1	125560000	125570000
chr1	125670000	125680000
chr1	125910000	125920000
chr1	126490000	126500000
chr1	126730000	126740000
chr1	126820000	126830000
chr1	126830000	126840000
chr1	127200000	127210000
chr1	127480000	127490000
chr1	127670000	127680000
chr1	127770000	127780000
chr1	127860000	127870000
chr1	128090000	128100000
chr1	128100000	128110000
chr1	128240000	128250000
chr1	128280000	128290000
chr1	128300000	128310000
chr1	128350000	128360000
chr1	128360000	128370000
chr1	128410000	128420000
chr1	128470000	128480000
chr1	128590000	128600000
chr1	128850000	128860000
chr1	128860000	128870000
chr1	128880000	128890000
chr1	129080000	129090000
chr1	129090000	129100000
chr1	129270000	129280000
chr1	130290000	130300000
chr1	130300000	130310000
chr1	130420000	130430000
chr1	130460000	130470000
chr1	130510000	130520000
chr1	130540000	130550000
chr1	130710000	130720000
chr1	130730000	130740000
chr1	130870000	130880000
chr1	131090000	131100000
chr1	131110000	131120000
chr1	131130000	131140000
chr1	131140000	131150000
chr1	131150000	131160000
chr1	131190000	131200000
chr1	131200000	131210000
chr1	131240000	131250000
chr1	131250000	131260000
chr1	131260000	131270000
chr1	131270000	131280000
chr1	131520000	131530000
chr1	131530000	131540000
chr1	131560000	131570000
chr1	131590000	131600000
chr1	131790000	131800000
chr1	131820000	131830000
chr1	131860000	131870000
chr1	131890000	131900000
chr1	131900000	131910000
chr1	131910000	131920000
chr1	131960000	131970000
chr1	131970000	131980000
chr1	132000000	132010000
chr1	132060000	132070000
chr1	132130000	132140000
chr1	132140000	132150000
chr1	132150000	132160000
chr1	132160000	132170000
chr1	132180000	132190000
chr1	132190000	132200000
chr1	132200000	132210000
chr1	132210000	132220000
chr1	132260000	132270000
chr1	132280000	132290000
chr1	132290000	132300000
chr1	132310000	132320000
chr1	132360000	132370000
chr1	132380000	132390000
chr1	132390000	132400000
chr1	132410000	132420000
chr1	132470000	132480000
chr1	132520000	132530000
chr1	132540000	132550000
chr1	132600000	132610000
chr1	132730000	132740000
chr1	132740000	132750000
chr1	132750000	132760000
chr1	132840000	132850000
chr1	132870000	132880000
chr1	132880000	132890000
chr1	132920000	132930000
chr1	133010000	133020000
chr1	133020000	133030000
chr1	133030000	133040000
chr1	133040000	133050000
chr1	133070000	133080000
chr1	133080000	133090000
chr1	133100000	133110000
chr1	133120000	133130000
chr1	133130000	133140000
chr1	133140000	133150000
chr1	133160000	133170000
chr1	133180000	133190000
chr1	133270000	133280000
chr1	133320000	133330000
chr1	133330000	133340000
chr1	133360000	133370000
chr1	133390000	133400000
chr1	133410000	133420000
chr1	133420000	133430000
chr1	133490000	133500000
chr1	133600000	133610000
chr1	133610000	133620000
chr1	133650000	133660000
chr1	133660000	133670000
chr1	133670000	133680000
chr1	133690000	133700000
chr1	133730000	133740000
chr1	133790000	133800000
chr1	133800000	133810000
chr1	133900000	133910000
chr1	134040000	134050000
chr1	134060000	134070000
chr1	134070000	134080000
chr1	134090000	134100000
chr1	134230000	134240000
chr1	134260000	134270000
chr1	134270000	134280000
chr1	134290000	134300000
chr1	134320000	134330000
chr1	134340000	134350000
chr1	134360000	134370000
chr1	134380000	134390000
chr1	134400000	134410000
chr1	134410000	134420000
chr1	134430000	134440000
chr1	134450000	134460000
chr1	134490000	134500000
chr1	134510000	134520000
chr1	134520000	134530000
chr1	134540000	134550000
chr1	134550000	134560000
chr1	134560000	134570000
chr1	134570000	134580000
chr1	134640000	134650000
chr1	134700000	134710000
chr1	134710000	134720000
chr1	134740000	134750000
chr1	134950000	134960000
chr1	134960000	134970000
chr1	134980000	134990000
chr1	135080000	135090000
chr1	135100000	135110000
chr1	135110000	135120000
chr1	135140000	135150000
chr1	135150000	135160000
chr1	135160000	135170000
chr1	135190000	135200000
chr1	135240000	135250000
chr1	135250000	135260000
chr1	135260000	135270000
chr1	135280000	135290000
chr1	135310000	135320000
chr1	135320000	135330000
chr1	135360000	135370000
chr1	135370000	135380000
chr1	135420000	135430000
chr1	135430000	135440000
chr1	135500000	135510000
chr1	135510000	135520000
chr1	135580000	135590000
chr1	135630000	135640000
chr1	135680000	135690000
chr1	135690000	135700000
chr1	135700000	135710000
chr1	135720000	135730000
chr1	135730000	135740000
chr1	135760000	135770000
chr1	135780000	135790000
chr1	135790000	135800000
chr1	135810000	135820000
chr1	135860000	135870000
chr1	135910000	135920000
chr1	136000000	136010000
chr1	136010000	136020000
chr1	136050000	136060000
chr1	136100000	136110000
chr1	136130000	136140000
chr1	136140000	136150000
chr1	136150000	136160000
chr1	136160000	136170000
chr1	136170000	136180000
chr1	136210000	136220000
chr1	136220000	136230000
chr1	136230000	136240000
chr1	136250000	136260000
chr1	136260000	136270000
chr1	136340000	136350000
chr1	136360000	136370000
chr1	136390000	136400000
chr1	136410000	136420000
chr1	136460000	136470000
chr1	136470000	136480000
chr1	136550000	136560000
chr1	136560000	136570000
chr1	136570000	136580000
chr1	136580000	136590000
chr1	136620000	136630000
chr1	136670000	136680000
chr1	136680000	136690000
chr1	136690000	136700000
chr1	136700000	136710000
chr1	136750000	136760000
chr1	136780000	136790000
chr1	136830000	136840000
chr1	136940000	136950000
chr1	136950000	136960000
chr1	137080000	137090000
chr1	137170000	137180000
